ret_year,`1.1`,`1.2`,`1.3`,`2.1`,`2.2`,`2.3`
1980,0.052,0.826,0.083,0.023,0.016,0.000
1981,0.052,0.826,0.083,0.023,0.016,0.000
1982,0.052,0.826,0.083,0.023,0.016,0.000
1983,0.052,0.826,0.083,0.023,0.016,0.000
1984,0.052,0.826,0.083,0.023,0.016,0.000
1985,0.069,0.880,0.006,0.011,0.034,0.000
1986,0.052,0.826,0.083,0.023,0.016,0.000
1987,0.492,0.460,0.028,0.010,0.010,0.000
1988,0.002,0.969,0.013,0.010,0.006,0.000
1989,0.030,0.932,0.027,0.006,0.005,0.000
1990,0.452,0.262,0.226,0.019,0.035,0.006
1991,0.154,0.760,0.015,0.067,0.001,0.003
1992,0.169,0.733,0.014,0.070,0.014,0.000
1993,0.000,0.886,0.053,0.002,0.057,0.002
1994,0.143,0.126,0.698,0.016,0.017,0.000
1995,0.414,0.515,0.013,0.058,0.000,0.000
1996,0.076,0.859,0.038,0.000,0.027,0.000
1997,0.000,0.957,0.034,0.009,0.000,0.000
1998,0.053,0.789,0.158,0.000,0.000,0.000
1999,0.114,0.848,0.000,0.038,0.000,0.000
2000,0.130,0.840,0.010,0.010,0.010,0.000
2001,0.033,0.944,0.022,0.000,0.000,0.000
2002,0.020,0.497,0.148,0.013,0.221,0.101
2003,0.055,0.830,0.115,0.000,0.000,0.000
2004,0.026,0.953,0.018,0.000,0.002,0.000
2005,0.004,0.964,0.029,0.000,0.004,0.000
2006,0.002,0.883,0.110,0.000,0.005,0.000
2007,0.246,0.522,0.145,0.074,0.009,0.000
2008,0.040,0.946,0.010,0.000,0.004,0.000
2009,0.024,0.879,0.059,0.000,0.038,0.000
2010,0.007,0.891,0.069,0.026,0.007,0.000
2011,0.153,0.803,0.041,0.003,0.000,0.000
2012,0.003,0.977,0.010,0.008,0.003,0.000
2013,0.180,0.661,0.030,0.030,0.099,0.000
2014,0.070,0.895,0.033,0.000,0.002,0.000
2015,0.000,0.939,0.043,0.009,0.009,0.000
2016,0.010,0.957,0.025,0.003,0.005,0.000
2017,0.084,0.750,0.147,0.016,0.003,0.000
2018,0.002,0.976,0.014,0.006,0.002,0.000
2019,0.167,0.525,0.299,0.006,0.003,0.000
2020,0.012,0.973,0.015,0.000,0.000,0.000
2021,0.199,0.749,0.052,0.000,0.000,0.000
2022,0.020,0.945,0.023,0.008,0.004,0.000
