"","return_year","best_source_PAST","best_source"
"1",1980,"ONA MultiYr","ONA MultiYr"
"2",1981,"ONA MultiYr","ONA MultiYr"
"3",1982,"ONA MultiYr","ONA MultiYr"
"4",1983,"ONA MultiYr","ONA MultiYr"
"5",1984,"ONA MultiYr","ONA MultiYr"
"6",1985,"CRITFC","CRITFC"
"7",1986,"ONA MultiYr","ONA MultiYr"
"8",1987,"CRITFC","CRITFC"
"9",1988,"CRITFC","CRITFC"
"10",1989,"CRITFC","CRITFC"
"11",1990,"CRITFC","CRITFC"
"12",1991,"CRITFC","CRITFC"
"13",1992,"CRITFC","CRITFC"
"14",1993,"CRITFC","CRITFC"
"15",1994,"CRITFC","CRITFC"
"16",1995,"CRITFC","CRITFC"
"17",1996,"CRITFC","CRITFC"
"18",1997,"CRITFC","CRITFC"
"19",1998,"CRITFC","CRITFC"
"20",1999,"CRITFC","CRITFC"
"21",2000,"CRITFC","ONA"
"22",2001,"ONA","ONA"
"23",2002,"CRITFC","ONA"
"24",2003,"CRITFC","ONA"
"25",2004,"CRITFC","ONA"
"26",2005,"CRITFC","ONA"
"27",2006,"ONA","ONA"
"28",2007,"ONA","ONA"
"29",2008,"ONA","ONA"
"30",2009,"ONA","ONA"
"31",2010,"ONA","ONA"
"32",2011,"ONA","ONA"
"33",2012,"ONA","ONA"
"34",2013,"CRITFC","ONA"
"35",2014,"ONA","ONA"
"36",2015,"CRITFC","ONA"
"37",2016,"ONA","ONA"
"38",2017,"ONA","ONA"
"39",2018,"ONA","ONA"
"40",2019,"ONA","ONA"
"41",2020,"ONA","ONA"
"42",2021,"ONA","ONA"
"43",2022,"ONA","ONA"
"44",2023,"ONA","ONA"
