"","year","wells_24hr","osoyoosAUC"
"1",2000,59944,21926
"2",2001,74486,39378
"3",2002,10659,4904
"4",2003,29374,17753
"5",2004,78053,41791
"6",2005,55559,31260
"7",2006,22075,20819
"8",2007,22273,13490
"9",2008,165334,126972
"10",2009,134937,64088
"11",2010,291764,182487
"12",2011,111508,NA
"13",2012,326107,90862
"14",2013,129993,34440
"15",2014,490804,145206
"16",2015,187055,10255
"17",2016,216036,54554
"18",2017,42299,10033
"19",2018,153637,30755
"20",2019,49862,13057
"21",2020,226107,46697
"22",2021,76255,10660
"23",2022,478418,74700
