"","Return_Year","Bonn_Sockeye","JDay_Sockeye","MCN_Sockeye","ICE_Sockeye","PRD_Sockeye","RockI_Sockeye","Tum_Sockeye","RRH_Sockeye","Wells_Sockeye"
"1",1938,75029,NA,NA,NA,NA,NA,NA,NA,NA
"2",1939,73382,NA,NA,NA,NA,NA,NA,NA,NA
"3",1940,148805,NA,NA,NA,NA,NA,NA,NA,NA
"4",1941,65741,NA,NA,NA,NA,NA,NA,NA,NA
"5",1942,55474,NA,NA,NA,NA,NA,NA,NA,NA
"6",1943,39845,NA,NA,NA,NA,NA,NA,NA,NA
"7",1944,15071,NA,NA,NA,NA,NA,NA,NA,NA
"8",1945,9501,NA,NA,NA,NA,NA,NA,NA,NA
"9",1946,74375,NA,NA,NA,NA,NA,NA,NA,NA
"10",1947,171139,NA,NA,NA,NA,NA,NA,NA,NA
"11",1948,131541,NA,NA,NA,NA,NA,NA,NA,NA
"12",1949,51444,NA,NA,NA,NA,NA,NA,NA,NA
"13",1950,77993,NA,NA,NA,NA,NA,NA,NA,NA
"14",1951,169428,NA,NA,NA,NA,NA,NA,NA,NA
"15",1952,184646,NA,NA,NA,NA,NA,NA,NA,NA
"16",1953,235215,NA,NA,NA,NA,NA,NA,NA,NA
"17",1954,130107,NA,108181,NA,NA,NA,NA,NA,NA
"18",1955,237748,NA,173758,NA,NA,NA,NA,NA,NA
"19",1956,156418,NA,102145,NA,NA,NA,NA,NA,NA
"20",1957,82915,NA,85460,NA,NA,NA,NA,NA,NA
"21",1958,122389,NA,102397,NA,NA,NA,NA,NA,NA
"22",1959,86560,NA,83977,NA,NA,NA,NA,NA,NA
"23",1960,59713,NA,55372,NA,NA,NA,NA,NA,NA
"24",1961,17111,NA,16388,NA,NA,NA,NA,NA,NA
"25",1962,28179,NA,29372,38,28575,NA,NA,NA,NA
"26",1963,60319,NA,59744,1118,64751,NA,NA,NA,NA
"27",1964,99853,NA,83931,1276,79387,NA,NA,NA,NA
"28",1965,55125,NA,42052,317,48356,NA,NA,NA,NA
"29",1966,156661,NA,173028,278,170071,NA,NA,NA,NA
"30",1967,144157,NA,105640,717,123786,NA,NA,NA,NA
"31",1968,108207,87847,100997,1165,108308,NA,NA,NA,NA
"32",1969,59636,39847,29787,745,39240,NA,NA,NA,NA
"33",1970,70762,78133,59636,797,77419,NA,NA,NA,NA
"34",1971,87447,72232,52867,532,73837,NA,NA,NA,NA
"35",1972,56323,51793,26422,363,44927,NA,NA,NA,NA
"36",1973,58979,64744,42731,233,54480,NA,NA,NA,NA
"37",1974,43837,33121,26505,204,35436,NA,NA,NA,NA
"38",1975,58212,50774,43143,243,55209,NA,NA,NA,NA
"39",1976,43611,30446,24632,771,32810,NA,NA,NA,NA
"40",1977,99829,85701,80781,582,95423,90261,NA,25648,21973
"41",1978,18436,13778,18511,86,17731,14936,NA,8349,7644
"42",1979,52628,43630,37792,30,45759,50583,NA,28945,26655
"43",1980,58882,50675,44301,36,52039,52657,NA,29906,26573
"44",1981,56037,46146,26644,142,51460,47139,NA,30649,28234
"45",1982,50219,37970,15077,174,40451,41111,NA,17379,19005
"46",1983,100527,89810,40903,216,90008,86424,NA,26079,27925
"47",1984,152545,109815,56894,105,113761,109092,NA,73290,81054
"48",1985,166340,124941,98457,24,118541,103200,NA,54077,52989
"49",1986,58123,46327,46443,20,43078,49788,NA,32908,34788
"50",1987,116993,75529,72180,13,76577,69868,NA,41115,40120
"51",1988,79714,48095,50080,22,51135,49177,NA,34089,33978
"52",1989,41884,39374,41318,4,45300,37360,NA,16175,15976
"53",1990,49581,42077,46145,1,46331,44143,NA,9296,7609
"54",1991,76481,63760,69365,9,71245,62118,NA,27440,27490
"55",1992,84992,69731,68737,33,80857,68359,NA,41804,41951
"56",1993,80178,61218,66485,17,82924,65630,NA,28319,27849
"57",1994,12678,11170,10603,0,12395,10976,NA,1662,1666
"58",1995,8774,8667,8320,5,9186,9462,NA,4988,4892
"59",1996,30232,25698,28585,1,29453,29500,NA,21741,17701
"60",1997,47008,35830,38043,15,47904,40375,NA,30661,24621
"61",1998,13218,9837,9391,3,10769,9367,NA,5988,4666
"62",1999,17877,14809,11884,8,16432,18371,1172,14111,12388
"63",2000,93398,88372,60242,215,89547,76512,20979,57428,59944
"64",2001,114934,107869,97188,38,108656,104840,32633,66220,74486
"65",2002,49610,41915,39424,61,47726,44319,27821,12373,10659
"66",2003,39291,35417,32037,37,36287,34779,5074,30355,29374
"67",2004,123291,113497,89707,91,124943,106666,33167,81338,78053
"68",2005,72971,69770,63540,18,74563,71226,14218,55570,55559
"69",2006,37066,35387,29295,48,26710,35132,9657,25377,22075
"70",2007,24376,24277,18175,55,24645,25122,2607,20683,22273
"71",2008,213607,193409,146924,539,196834,193739,28340,161343,165334
"72",2009,177823,157402,121672,867,153466,162830,16034,133106,134937
"73",2010,386525,324128,278799,1302,357058,338310,35821,295638,291764
"74",2011,185796,143605,113952,1141,145070,146111,18634,132096,111508
"75",2012,515673,394166,364147,453,408258,410620,66520,363314,326107
"76",2013,185505,155498,134202,895,163079,159208,29015,131655,129993
"77",2014,614179,557531,546012,2392,608142,581121,99901,492892,490804
"78",2015,510706,366364,279744,1052,301272,264678,51566,216389,187055
"79",2016,342498,289976,261696,898,311072,310341,73697,235925,216036
"80",2017,87693,66041,58022,392,66670,73218,23854,46701,42299
"81",2018,193816,168469,155480,382,189884,172009,13973,162684,153637
"82",2019,63046,52526,51561,320,45231,58562,8877,50464,49862
"83",2020,341739,309959,284924,2330,291106,280440,43391,249521,226107
"84",2021,151765,126708,111756,954,76855,109367,30826,82643,76255
"85",2022,663253,630888,595712,1850,654407,659933,110693,562721,478418
"86",2023,327600,281845,228929,2269,235270,247772,84473,149525,136956
"87",2024,755909,662954,650870,5502,699536,728803,176786,555019,490980
